filename,workflow_name,on_events,job_name,services,step_names
alert-workflow-changes.yml,Alert on Workflow Changes,"pull_request (paths); push (branches: main, paths)",Alert on Sensitive File Changes,,Checkout repository; Check for bypass token usage in workflows; Comment on PR if bypass token used; Summary
archive-artifacts.yml,Archive Build Artifacts,workflow_run (Deploy to Production completed); workflow_dispatch,archive,,Checkout code; Get version; Download build reports; Create archive metadata; Set sponsor list; Package combined reports; Generate combined checksum; Upload combined reports to S3; Verify combined upload; Package and upload sponsor reports; Log archival; Generate S3 structure documentation; Notify on failure
archive-audit-trail.yml,Archive Audit Trail (Nightly),schedule (cron: 0 2 * * *); workflow_dispatch,archive-audit-trail,,Install PostgreSQL client; Load secrets from Doppler; Export audit trail; Compress export; Generate checksum; Verify audit trail integrity; Create metadata; Upload to S3; Verify upload; Log archival success; Notify on failure
archive-deployment-logs.yml,Archive Deployment Logs,"workflow_run (Deploy to Development, Deploy to Staging, Deploy to Production, Rollback Deployment); workflow_dispatch",archive-logs,,Checkout repository; Determine workflow run ID; Fetch deployment logs; Fetch workflow details; Create deployment record; Package deployment record; Generate checksum; Upload to S3; Verify upload; Notify on failure
claim-requirement-number.yml,Claim Requirement Number,workflow_dispatch (inputs: prefix/file/title),Claim Next Available REQ#,,Checkout repository; Setup Node.js; Check for unexpected changes before update; Update INDEX.md with next REQ#; Verify only INDEX.md was modified; Commit and push changes; Output new requirement ID; Comment workflow run link
codespaces-prebuild.yml,Codespaces Prebuild,"push (branches: main, paths); workflow_dispatch","Prebuild ${{ matrix.container }} Container (matrix: dev, qa, ops)",,Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Prebuild container
codespaces-prebuild.yml,Codespaces Prebuild,"push (branches: main, paths); workflow_dispatch",Prebuild Summary,,Generate summary
requirement-verification.yml,Requirement Verification,push (paths: spec/**/*.md); pull_request (paths: spec/**/*.md),verify-requirements,,Checkout code; Set up Python; Detect changed requirements; Scan implementations; Generate report; Upload verification report; Comment on PR; Summary
rollback.yml,Rollback Deployment,workflow_dispatch (inputs: environment/target_version/reason),"Rollback ${{ inputs.environment }}",,Log rollback initiation; Capture current production version; Verify target version exists; Checkout target version; Setup environment; Load secrets; Database rollback; Deploy previous version; Verify rollback with smoke tests; Record rollback; Notify team; Rollback failed
tag-production-candidate.yml,Tag Production Candidate,workflow_dispatch (inputs: version/github_run_id/description),Validate Build,,Checkout Code; Install jq; Download Build Manifest; Parse Build Manifest; Validate Version Format; Check Version Uniqueness
tag-production-candidate.yml,Tag Production Candidate,workflow_dispatch (inputs: version/github_run_id/description),Tag Core Repository,,Checkout Code; Configure Git; Create Tag; Push Tag
tag-production-candidate.yml,Tag Production Candidate,workflow_dispatch (inputs: version/github_run_id/description),Create GitHub Release,,Checkout Code; Download Build Artifacts; Create Release Notes; Create GitHub Release
tag-production-candidate.yml,Tag Production Candidate,workflow_dispatch (inputs: version/github_run_id/description),Notification Summary,,Generate Summary
trial_data_types-ci.yml,Trial Data Types CI,"push (branches: main/develop, paths); pull_request (branches: main/develop, paths); workflow_dispatch",Analyze,,Checkout code; Setup Dart; Install dependencies; Verify formatting; Analyze project source
trial_data_types-ci.yml,Trial Data Types CI,"push (branches: main/develop, paths); pull_request (branches: main/develop, paths); workflow_dispatch","Test (matrix: sdk stable, beta)",,Checkout code; Setup Dart; Install dependencies; Run tests
validate-bot-commits.yml,Validate Bot Commits,push (branches: main),Ensure Bot Only Modifies INDEX.md,,Checkout repository; Check if commit was made by bot; Validate bot only modified INDEX.md; Summary
verify-archive-integrity.yml,Verify Archive Integrity (Monthly),schedule (cron: 0 3 1 * *); workflow_dispatch,verify-integrity,,List hot storage artifacts; Verify checksums; Generate verification report; Upload verification report; Notify on failure; Report success
append_only_datastore-ci.yml,Append-Only Datastore CI,"push (branches: main/develop, paths); pull_request (branches: main/develop, paths); workflow_dispatch",Analyze,,Checkout code; Setup Flutter; Install dependencies; Verify formatting; Analyze project source
append_only_datastore-ci.yml,Append-Only Datastore CI,"push (branches: main/develop, paths); pull_request (branches: main/develop, paths); workflow_dispatch","Test (matrix: flutter-version stable, beta)",,Checkout code; Setup Flutter; Install dependencies; Run tests
append_only_datastore-coverage.yml,Append-Only Datastore Coverage,push (branches: main, paths); workflow_dispatch,Coverage Report,,Checkout code; Setup Flutter; Install dependencies; Install lcov; Run tests with coverage; Upload coverage to Codecov
build-dart-base.yml,"Build, push & sign dart-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Build Base Image,,Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Determine tag and validate semver; Extract metadata; Build and push dart-base image
build-dart-base.yml,"Build, push & sign dart-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Sign Images & Generate SBOMs,,Install Cosign; Install Syft; Log in to GitHub Container Registry; Sign base image; Generate SBOM for base image; Upload SBOMs as artifacts; Attach SBOM attestation to base image
build-dart-base.yml,"Build, push & sign dart-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Verify Image Signatures,,Install Cosign; Log in to GitHub Container Registry; Verify base image signature
build-dart-base.yml,"Build, push & sign dart-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Build Summary,,Generate summary
clinical_diary-ci.yml,Clinical Diary CI,"pull_request (branches: main/develop, paths); workflow_dispatch",Analyze Flutter,,Checkout code; Setup Flutter; Install dependencies; Verify formatting; Analyze project source
clinical_diary-ci.yml,Clinical Diary CI,"pull_request (branches: main/develop, paths); workflow_dispatch",Test Clinical Diary,,Checkout code; Install Linux desktop dependencies; Setup Flutter; Setup Node.js; Setup Java (required for Firebase emulator); Install Firebase CLI; Install Flutter dependencies; Install lcov; Run coverage tests (includes integration tests with emulator); Upload coverage to Codecov
deploy-development.yml,Deploy to Development,push (branches: main); workflow_dispatch,Deploy to Development,,Checkout code; Setup Dart/Flutter; Get Flutter dependencies; Build Flutter web app; Setup Node.js for Firebase CLI; Install Firebase CLI; Build Firebase Functions; Authenticate to Google Cloud; Deploy to Firebase; Notify success; Notify failure
deploy-production.yml,Deploy to Production,workflow_dispatch (inputs: version/reason/enable_backup_archival),Pre-deployment Checks,,Check deployment window; Check staging smoke tests; Check for open incidents; Check deployment rate limit
deploy-production.yml,Deploy to Production,workflow_dispatch (inputs: version/reason/enable_backup_archival),Deploy to Production,,Log deployment initiation; Checkout code; Setup Node.js; Setup Dart/Flutter; Install Supabase CLI; Install dependencies; Load secrets from Doppler; Configure AWS Credentials for Backup; Database migration (with rollback plan); Create pre-migration database backup (7-year retention); Execute database migration; Deploy application; Run smoke tests; Health check monitoring (15 minutes); Record deployment (7-year retention); Notify team; Emergency rollback; Trigger incident response
deploy-staging.yml,Deploy to Staging,workflow_dispatch (inputs: reason),Deploy to Staging,,Log deployment initiation; Checkout code; Setup Node.js; Setup Dart/Flutter; Install Supabase CLI; Install dependencies; Security scan; Load secrets from Doppler; Pre-deployment health check; Run full test suite; Create database backup; Database migration (with rollback on failure); Deploy application; Run smoke tests; Record deployment; Upload deployment audit artifact; Notify QA team; Rollback on failure; Notify failure; Record deployment metadata; Upload deployment metadata; Set deployment outputs; Cleanup artifacts
diary-server-ci.yml,Diary Server CI,push (branches: main, paths); pull_request (branches: main, paths),Static Analysis,,Checkout; Setup Dart; Install dependencies (diary_functions); Install dependencies (diary_server); Analyze diary_functions; Analyze diary_server; Check formatting
diary-server-ci.yml,Diary Server CI,push (branches: main, paths); pull_request (branches: main, paths),Unit Tests,,Checkout; Setup Dart; Install dependencies (diary_functions); Install dependencies (diary_server); Run diary_functions unit tests; Run diary_server unit tests
diary-server-ci.yml,Diary Server CI,push (branches: main, paths); pull_request (branches: main, paths),Integration Tests,postgres (postgres:17-alpine),Checkout; Setup Dart; Wait for PostgreSQL; Apply database schema; Install dependencies (diary_functions); Install dependencies (diary_server); Run diary_functions integration tests; Run diary_server integration tests
diary-server-ci.yml,Diary Server CI,push (branches: main, paths); pull_request (branches: main, paths),Test Coverage,postgres (postgres:17-alpine),Checkout; Setup Dart; Apply database schema; Install dependencies; Run diary_functions tests with coverage; Generate diary_functions coverage report; Run diary_server tests with coverage; Generate diary_server coverage report; Upload diary_functions coverage to Codecov; Upload diary_server coverage to Codecov; Upload coverage reports as artifacts
qa-automation.yml,QA Automation,"pull_request (branches: main/feature/**/release/**); workflow_dispatch",Run QA Test Suite,,Checkout code; Base directory; List files; Check if QA tests should run; Skip QA tests; Detect Docker file changes; Free up disk space; Log in to GitHub Container Registry; Pull pre-built images from GHCR; Free up disk space for build; Set up Docker Buildx; Build and push Docker images to GHCR; Start QA environment; Wait for QA container to be healthy; Prepare repository in QA container; Authenticate with Doppler; Run Flutter unit tests; Upload coverage reports; Comment PR with test results; Cleanup containers; Fail workflow if tests failed
qa-automation.yml,QA Automation,"pull_request (branches: main/feature/**/release/**); workflow_dispatch",Security & Compliance Scan,,Checkout code; Run Trivy vulnerability scanner (filesystem); Run Trivy IaC scanner; Check for Docker images to scan; Log in to GitHub Container Registry; Pull pre-built image from GHCR; Set up Docker Buildx (fallback); Build base image for scanning (fallback); Run Trivy container scanner (base image); Upload Trivy filesystem results; Upload Trivy IaC results; Upload Trivy container results; Generate comprehensive vulnerability report; Upload all scan results as artifacts
qa-automation.yml,QA Automation,"pull_request (branches: main/feature/**/release/**); workflow_dispatch",Flutter/Dart Security Analysis,,Checkout code; Check for Flutter/Dart code; Set up Flutter; Install dependencies; Run Flutter analyze; Check for outdated dependencies; Upload analysis results
qa-automation.yml,QA Automation,"pull_request (branches: main/feature/**/release/**); workflow_dispatch",SQL Migration Linting,,Checkout code; Check for SQL files; Get changed SQL files; Install Squawk; Run Squawk on changed files; Run Squawk on all migrations (manual trigger); Generate linting summary
build-flutter-base.yml,"Build, push & sign flutter-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Build Base Image,,Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Determine tag and validate semver; Extract metadata; Build and push flutter-base image
build-flutter-base.yml,"Build, push & sign flutter-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Sign Images & Generate SBOMs,,Install Cosign; Install Syft; Log in to GitHub Container Registry; Sign base image; Generate SBOM for base image; Upload SBOMs as artifacts; Attach SBOM attestation to base image
build-flutter-base.yml,"Build, push & sign flutter-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Verify Image Signatures,,Install Cosign; Log in to GitHub Container Registry; Verify base image signature
build-flutter-base.yml,"Build, push & sign flutter-base image",push (tags: v*.*.*); workflow_dispatch (inputs: version),Build Summary,,Generate summary
sponsor-portal-ci.yml,Sponsor Portal CI,push (branches: main, paths); pull_request (branches: main, paths),Static Analysis,,Checkout; Setup Dart; Setup Flutter; Install dependencies (portal_functions); Install dependencies (portal_server); Install dependencies (portal-ui); Analyze portal_functions; Analyze portal_server; Analyze portal-ui; Check formatting
sponsor-portal-ci.yml,Sponsor Portal CI,push (branches: main, paths); pull_request (branches: main, paths),Unit Tests,,Checkout; Setup Dart; Setup Flutter; Install dependencies (portal_functions); Install dependencies (portal_server); Install dependencies (portal-ui); Run portal_functions unit tests; Run portal_server unit tests; Run portal-ui unit tests
sponsor-portal-ci.yml,Sponsor Portal CI,push (branches: main, paths); pull_request (branches: main, paths),Integration Tests,postgres (postgres:17-alpine),Checkout; Setup Dart; Setup Node.js for Firebase Emulator; Install Firebase Tools; Start Firebase Auth Emulator; Wait for PostgreSQL; Apply database schema; Install dependencies (portal_functions); Install dependencies (portal_server); Run portal_functions integration tests; Run portal_server integration tests
sponsor-portal-ci.yml,Sponsor Portal CI,push (branches: main, paths); pull_request (branches: main, paths),Test Coverage,postgres (postgres:17-alpine),Checkout; Setup Dart; Setup Flutter; Setup Node.js for Firebase Emulator; Install Firebase Tools; Start Firebase Auth Emulator; Apply database schema; Install dependencies; Run portal_functions unit tests with coverage; Run portal_functions integration tests with coverage; Generate portal_functions coverage report; Check portal_functions coverage threshold; Run portal_server unit tests with coverage; Run portal_server integration tests with coverage; Generate portal_server coverage report; Run portal-ui tests with coverage; Upload coverage to Codecov; Upload coverage reports as artifacts
maintenance-check.yml,Maintenance Check,"schedule (cron: 0 9 1 * *); workflow_dispatch; pull_request (paths)",check-maintenance-status,,Checkout code; Check file modification dates; Check for outdated tool versions; Generate maintenance report; Create issue if maintenance overdue
database-migration.yml,Database Migration Validation,push (paths: database/**/*.sql); pull_request (paths: database/**/*.sql); workflow_dispatch,validate-migrations,postgres (postgres:15),Checkout; Install PostgreSQL client; Deploy schema; Deploy triggers; Deploy roles; Deploy RLS policies; Deploy indexes; Deploy tamper detection; Deploy compliance verification; Run database tests; Validate migration scripts
build-publish-images.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Build Base Image,,Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Extract metadata; Build and push base image; Tag image for local use; Export local image for downstream jobs; Upload base image artifact
build-publish-images.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Build Dev Image,,Free up disk space; Checkout code; Set up Docker Buildx; Download base image (PR only); Load base image (PR only); Log in to GitHub Container Registry; Extract metadata; Build and push dev image; Tag image for local use; Export local image for downstream jobs; Upload dev image artifact
build-publish-images.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Build QA Image,,Free up disk space; Checkout code; Set up Docker Buildx; Download base image (PR only); Download dev image (PR only); Load images (PR only); Log in to GitHub Container Registry; Extract metadata; Build and push QA image
build-publish-images.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Sign Images & Generate SBOMs,,Install Cosign; Install Syft; Log in to GitHub Container Registry; Downcase image prefix; Sign base image; Sign dev image; Sign QA image; Generate SBOM for base image; Generate SBOM for dev image; Generate SBOM for QA image; Upload SBOMs as artifacts; Attach SBOM attestation to base image; Attach SBOM attestation to dev image; Attach SBOM attestation to QA image
build-publish-images.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Verify Image Signatures,,Install Cosign; Log in to GitHub Container Registry; Downcase image prefix; Verify base image signature; Verify dev image signature; Verify QA image signature
build-publish-images.yml,Build & Publish Docker Images,"push (branches: main/release/**, paths); pull_request (paths); workflow_dispatch",Build Summary,,Generate summary
test-gcp-auth.yml,Test GCP Authentication with Workload Identity Federation,workflow_dispatch,deploy,,Checkout; Authenticate to Google Cloud; Test the Connection
build-diary-server.yml,Build diary-server,"push (branches: main, tags: v*.*.*); workflow_dispatch (inputs: version/sponsor-env/tobe_deployed)",Build diary-server Image,,Free up disk space; Checkout code; Set up Docker Buildx; Log in to GitHub Container Registry; Determine tag and validate semver; Extract metadata; Build and push diary-server image
